x,y,z
-8.256921768188477,-767.9666748046875,64.05431365966797
-8.256921768188477,-767.9666137695312,64.05430603027344
-8.256921768188477,-767.9666137695312,64.0542984008789
-8.256921768188477,-767.9666137695312,64.05429077148438
-8.256921768188477,-767.9666137695312,64.05428314208984
-8.256922721862793,-767.9666137695312,64.05427551269531
-8.256922721862793,-767.966552734375,64.05427551269531
-8.256922721862793,-767.966552734375,64.05426788330078
-8.256922721862793,-767.966552734375,64.05426025390625
-8.256922721862793,-767.966552734375,64.05425262451172
-8.25692367553711,-767.966552734375,64.05424499511719
-8.25692367553711,-767.9664916992188,64.05424499511719
-8.25692367553711,-767.9664916992188,64.05423736572266
-8.25692367553711,-767.9664916992188,64.05422973632812
-8.25692367553711,-767.9664916992188,64.0542221069336
-8.25692367553711,-767.9664916992188,64.0542221069336
-8.256924629211426,-767.9664306640625,64.05421447753906
-8.256924629211426,-767.9664306640625,64.05420684814453
-8.256924629211426,-767.9664306640625,64.05419921875
-8.256924629211426,-767.9664306640625,64.05419158935547
-8.256925582885742,-767.9664306640625,64.05419158935547
-8.256925582885742,-767.9664306640625,64.05418395996094
-8.256925582885742,-767.9663696289062,64.0541763305664
-8.256925582885742,-767.9663696289062,64.05416870117188
-8.256925582885742,-767.9663696289062,64.05416870117188
-8.256926536560059,-767.9663696289062,64.05416107177734
-8.256926536560059,-767.96630859375,64.05415344238281
-8.256926536560059,-767.96630859375,64.05414581298828
-8.256926536560059,-767.96630859375,64.05413818359375
-8.256926536560059,-767.96630859375,64.05413818359375
-8.256927490234375,-767.96630859375,64.05413055419922
-8.256927490234375,-767.96630859375,64.05412292480469
-8.256927490234375,-767.9662475585938,64.05411529541016
-8.256927490234375,-767.9662475585938,64.05411529541016
-8.256927490234375,-767.9662475585938,64.05410766601562
-8.256928443908691,-767.9662475585938,64.0541000366211
-8.256928443908691,-767.9662475585938,64.05409240722656
-8.256928443908691,-767.9661865234375,64.05409240722656
-8.256928443908691,-767.9661865234375,64.05408477783203
-8.256929397583008,-767.9661865234375,64.0540771484375
-8.256929397583008,-767.9661865234375,64.0540771484375
-8.256929397583008,-767.9661865234375,64.05406951904297
-8.256929397583008,-767.9661254882812,64.05406188964844
-8.256929397583008,-767.9661254882812,64.0540542602539
-8.256930351257324,-767.9661254882812,64.05404663085938
-8.256930351257324,-767.9661254882812,64.05404663085938
-8.256930351257324,-767.9661254882812,64.05403900146484
-8.256930351257324,-767.966064453125,64.05403900146484
-8.25693130493164,-767.966064453125,64.05403137207031
-8.25693130493164,-767.966064453125,64.05402374267578
-8.25693130493164,-767.966064453125,64.05401611328125
-8.25693130493164,-767.966064453125,64.05401611328125
-8.25693130493164,-767.966064453125,64.05400848388672
-8.256932258605957,-767.9660034179688,64.05400085449219
-8.256932258605957,-767.9660034179688,64.05400085449219
-8.256932258605957,-767.9660034179688,64.05399322509766
-8.256932258605957,-767.9660034179688,64.05398559570312
-8.256933212280273,-767.9659423828125,64.0539779663086
-8.256933212280273,-767.9659423828125,64.0539779663086
-8.256933212280273,-767.9659423828125,64.05397033691406
-8.256933212280273,-767.9659423828125,64.05397033691406
-8.256933212280273,-767.9659423828125,64.05396270751953
-8.25693416595459,-767.9659423828125,64.053955078125
-8.25693416595459,-767.9658813476562,64.05394744873047
-8.25693416595459,-767.9658813476562,64.05394744873047
-8.25693416595459,-767.9658813476562,64.05393981933594
-8.256935119628906,-767.9658813476562,64.0539321899414
-8.256935119628906,-767.9658813476562,64.0539321899414
-8.256935119628906,-767.9658203125,64.05392456054688
-8.256935119628906,-767.9658203125,64.05391693115234
-8.256935119628906,-767.9658203125,64.05391693115234
-8.256936073303223,-767.9658203125,64.05390930175781
-8.256936073303223,-767.9658203125,64.05390167236328
-8.256936073303223,-767.9657592773438,64.05390167236328
-8.256936073303223,-767.9657592773438,64.05389404296875
-8.256936073303223,-767.9657592773438,64.05388641357422
-8.256937026977539,-767.9657592773438,64.05388641357422
-8.256937026977539,-767.9657592773438,64.05387878417969
-8.256937026977539,-767.9656982421875,64.05387115478516
-8.256937026977539,-767.9656982421875,64.05387115478516
-8.256937980651855,-767.9656982421875,64.05386352539062
-8.256937980651855,-767.9656982421875,64.05386352539062
-8.256937980651855,-767.9656982421875,64.0538558959961
-8.256937980651855,-767.9656982421875,64.05384826660156
-8.256937980651855,-767.9656372070312,64.05384826660156
-8.256938934326172,-767.9656372070312,64.05384063720703
-8.256938934326172,-767.9656372070312,64.0538330078125
-8.256938934326172,-767.9656372070312,64.0538330078125
-8.256938934326172,-767.965576171875,64.05382537841797
-8.256939888000488,-767.965576171875,64.05381774902344
-8.256939888000488,-767.965576171875,64.05381774902344
-8.256939888000488,-767.965576171875,64.0538101196289
-8.256939888000488,-767.965576171875,64.0538101196289
-8.256940841674805,-767.965576171875,64.05380249023438
-8.256940841674805,-767.9655151367188,64.05379486083984
-8.256940841674805,-767.9655151367188,64.05379486083984
-8.256940841674805,-767.9655151367188,64.05378723144531
-8.256941795349121,-767.9655151367188,64.05378723144531
-8.256941795349121,-767.9655151367188,64.05377960205078
-8.256941795349121,-767.9654541015625,64.05377197265625
-8.256941795349121,-767.9654541015625,64.05377197265625
-8.256942749023438,-767.9654541015625,64.05376434326172
-8.256942749023438,-767.9654541015625,64.05375671386719
-8.256942749023438,-767.9654541015625,64.05375671386719
-8.256942749023438,-767.9653930664062,64.05374908447266
-8.256942749023438,-767.9653930664062,64.05374908447266
-8.256943702697754,-767.9653930664062,64.05374145507812
-8.256943702697754,-767.9653930664062,64.0537338256836
-8.256943702697754,-767.9653930664062,64.0537338256836
-8.25694465637207,-767.96533203125,64.05372619628906
-8.25694465637207,-767.96533203125,64.05371856689453
-8.25694465637207,-767.96533203125,64.05371856689453
-8.25694465637207,-767.96533203125,64.05371856689453
-8.25694465637207,-767.96533203125,64.0537109375
-8.256945610046387,-767.9652709960938,64.05370330810547
-8.256945610046387,-767.9652709960938,64.05370330810547
-8.256945610046387,-767.9652709960938,64.05369567871094
-8.256945610046387,-767.9652709960938,64.0536880493164
-8.256946563720703,-767.9652709960938,64.0536880493164
