point,width,curvature,angle,x,y,apps,brake,steering_position
0,5,0,0,280.192942218391,208.505035400391,25.2516232084242,-0,0.421165412177179
5,5,-0.00571499398785822,-0.0142874849696456,275.196884821896,208.574945969229,73.9036290279862,-0,-0.829171052889983
10,5,-0.00471435695314152,-0.0403608623221449,270.204925327017,208.849472600463,75.4429386827509,-0,-1.05478639960859
15,5,-0.00253743135481935,-0.0584903330920471,265.228618360603,209.333775939139,75.5748917037515,-0,-0.915407707957917
20,5,0.000135709138957338,-0.0644946386317021,260.257487744994,209.870267252602,75.175930979662,-0,0.226541796547802
25,5,0.00256052294560393,-0.057754058420299,255.275286736697,210.28999981168,60.7432208225813,-0,0.395601738819301
30,5,0.00371803662227995,-0.0420576595005893,250.287397861737,210.637168735344,48.7255304189875,-0,0.717445678315142
35,5,0.00300693491537261,-0.0252452306564579,245.296219077012,210.933918585618,46.9156214936281,-0,1.14370746875944
40,5,0.00184279522043805,-0.0131209053169312,240.301090094813,211.148757474879,44.3596989025378,-0,1.11994601546069
45,5,0.00112806880431167,-0.00569374525505688,235.301817332813,211.232783221536,42.7878678959382,-0,0.176998276363935
50,5,0.000685842377506923,-0.00115896730051039,230.303328600116,211.353785879042,39.8571127107813,-0,0.288189364239772
55,5,0.000350705108507837,0.00143240141452651,225.305696723488,211.507531024952,34.7115291281661,-0,0.200657180217243
60,5,0.000479719607632271,0.00350846320487678,220.30721396628,211.63042111622,18.4578185781787,-0,0.349954418651802
65,5,0.00102383396070964,0.00726734712573155,215.308129999236,211.725608874734,19.0029846835414,-0,0.439969710038583
70,5,0.00119025387164904,0.0128025667066282,210.308523824904,211.787879283027,15.517080202798,-0,0.545104599736233
75,5,0.00069029511942544,0.0175039391843145,205.308691579269,211.828484633539,7.63847754732383,-0,0.419846636925563
80,5,-7.89823543646841e-06,0.0192099313942869,200.308743602689,211.850660676152,3.88318542191457,-0,-0.000384940202187868
85,5,-0.000471220852972217,0.0180121336732652,195.308747611984,211.854446660382,0.960524770840723,-0,-0.122635533416407
90,5,-0.000589865144197054,0.015359418680342,190.308761616543,211.860812109544,0.0299451161122106,-0,-0.162985915174419
95,5,-0.000477727608657098,0.0126904367982066,185.309164819547,211.921601727691,0.0364191998503403,-0,-0.113388530386137
100,5,-0.000204381284435854,0.0109851645654742,180.310115958712,212.019072967599,0.0323288357880317,-0,-0.029876767254515
105,5,0.000194506681363309,0.0109604780577929,175.310653550885,212.091660421986,0.0345784765792788,-0,0.12872960609237
110,5,0.000490919708361368,0.0126740440321046,170.310880818304,212.139167186799,0.0333114961337384,-0,0.27397751349504
115,5,0.000440962641290711,0.0150037499062348,165.311044296062,212.179588006912,0.0269067408357243,-0,0.255153050976511
120,5,0.000202036711558001,0.0166112482883565,160.311185283454,212.217126984158,0.0328525161725498,-0,0.122665586865158
125,5,8.53696234055263e-05,0.0173297641257654,155.311303978965,212.251565606293,0.0366766947788622,-0,0.0744686057725298
130,5,9.7817641584382e-05,0.0177877322882401,150.311401127764,212.282720776507,0.0358524037432404,-0,0.0919925457698831
135,5,0.000115672004695224,0.0183214564039391,145.311481332648,212.311027161143,0.0346012295127312,-0,0.10171103094958
